dependent_variable,variables,R_squared,p-values,AIC
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_10', 'Interest_Rate_Pct_Change_Lag_20')",0.29107008684782043,"{'const': 0.0, 'Interest_Rate_Lag_1': 3.5825271246603803e-32, 'Interest_Rate_Lag_20': 1.4671891988972905e-58, 'Interest_Rate_Pct_Change_Lag_1': 0.0021467431300246156, 'Interest_Rate_Pct_Change_Lag_5': 0.002325691645508414, 'Interest_Rate_Pct_Change_Lag_10': 0.00457092368387602, 'Interest_Rate_Pct_Change_Lag_20': 1.2200551986577343e-06}",241071.44996843667
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_20')",0.2906789706904961,"{'const': 0.0, 'Interest_Rate_Lag_1': 3.5794076852113336e-34, 'Interest_Rate_Lag_20': 1.799204970390215e-61, 'Interest_Rate_Pct_Change_Lag_1': 0.002424782608795318, 'Interest_Rate_Pct_Change_Lag_5': 0.0026247324576720043, 'Interest_Rate_Pct_Change_Lag_20': 1.2345126736799217e-06}",241077.49593897245
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_10', 'Interest_Rate_Pct_Change_Lag_20')",0.29061907850666735,"{'const': 0.0, 'Interest_Rate_Lag_1': 2.7142909786866865e-34, 'Interest_Rate_Lag_20': 1.2399973078092587e-61, 'Interest_Rate_Pct_Change_Lag_1': 0.0024473076561532625, 'Interest_Rate_Pct_Change_Lag_10': 0.005165998508448777, 'Interest_Rate_Pct_Change_Lag_20': 1.2363230450948365e-06}",241078.72763838293
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_10', 'Interest_Rate_Pct_Change_Lag_20')",0.29061193944769814,"{'const': 0.0, 'Interest_Rate_Lag_1': 2.6295423977381956e-34, 'Interest_Rate_Lag_20': 1.1882199229306687e-61, 'Interest_Rate_Pct_Change_Lag_5': 0.0026517346594064116, 'Interest_Rate_Pct_Change_Lag_10': 0.0051711084061774795, 'Interest_Rate_Pct_Change_Lag_20': 1.2365365533052458e-06}",241078.87444817869
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_20')",0.290238519242072,"{'const': 0.0, 'Interest_Rate_Lag_1': 2.482173319664348e-36, 'Interest_Rate_Lag_20': 1.3957648955146965e-64, 'Interest_Rate_Pct_Change_Lag_1': 0.0027518136434281004, 'Interest_Rate_Pct_Change_Lag_20': 1.2505360976126887e-06}",241084.55151662964
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_20')",0.29023146332709227,"{'const': 0.0, 'Interest_Rate_Lag_1': 2.402974149834265e-36, 'Interest_Rate_Lag_20': 1.3365723057697103e-64, 'Interest_Rate_Pct_Change_Lag_5': 0.002979204059313967, 'Interest_Rate_Pct_Change_Lag_20': 1.250749228324858e-06}",241084.69653883623
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_10', 'Interest_Rate_Pct_Change_Lag_20')",0.29017235725559576,"{'const': 0.0, 'Interest_Rate_Lag_1': 1.8100136381802546e-36, 'Interest_Rate_Lag_20': 9.152054295105636e-65, 'Interest_Rate_Pct_Change_Lag_10': 0.005817917593362544, 'Interest_Rate_Pct_Change_Lag_20': 1.2525570907437865e-06}",241085.9113059425
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_10')",0.289982800643362,"{'const': 0.0, 'Interest_Rate_Lag_1': 4.063522970671419e-32, 'Interest_Rate_Lag_20': 1.7227265218053034e-58, 'Interest_Rate_Pct_Change_Lag_1': 0.002177591349001497, 'Interest_Rate_Pct_Change_Lag_5': 0.0023587479149869924, 'Interest_Rate_Pct_Change_Lag_10': 0.004629836967076402}",241108.53510101582
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_10', 'Interest_Rate_Pct_Change_Lag_20')",0.2898714158011485,"{'const': 0.0, 'Interest_Rate_Lag_5': 8.80169829818351e-27, 'Interest_Rate_Lag_20': 3.932880823406575e-48, 'Interest_Rate_Pct_Change_Lag_1': 1.0635228656570036e-05, 'Interest_Rate_Pct_Change_Lag_5': 0.002591476066523719, 'Interest_Rate_Pct_Change_Lag_10': 0.005053156149389415, 'Interest_Rate_Pct_Change_Lag_20': 1.249755484749771e-06}",241096.09478388348
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_20')",0.28980203310159747,"{'const': 0.0, 'Interest_Rate_Lag_1': 1.5202138814016613e-38, 'Interest_Rate_Lag_20': 9.489098440615392e-68, 'Interest_Rate_Pct_Change_Lag_20': 1.2665288330623835e-06}",241091.5200262984
